timestamp,latitude,longitude,mq135,mq2,mq7,temperature,humidity
2026-06-01T09:00:00,12.941856,77.588984,209.34,155.73,153.63,24.36,61.71
2026-06-01T09:00:45,12.942808,77.588411,221.64,196.59,182.90,24.64,63.05
2026-06-01T09:01:30,12.943698,77.587702,190.23,171.56,153.49,25.99,57.15
2026-06-01T09:02:15,12.944510,77.586868,175.81,165.89,139.29,25.43,56.79
2026-06-01T09:03:00,12.945235,77.585919,181.53,205.42,200.28,25.37,56.73
2026-06-01T09:03:45,12.945861,77.584870,205.69,233.56,197.54,26.76,57.53
2026-06-01T09:04:30,12.946379,77.583737,171.58,186.21,195.75,26.53,59.14
2026-06-01T09:05:15,12.946781,77.582534,180.48,158.37,165.96,25.67,60.32
2026-06-01T09:06:00,12.947063,77.581280,155.14,198.10,126.69,27.16,58.98
2026-06-01T09:06:45,12.947219,77.579992,186.40,165.72,161.36,25.86,56.34
2026-06-01T09:07:30,12.947247,77.578690,139.97,141.27,180.11,26.81,57.59
2026-06-01T09:08:15,12.947148,77.577391,155.84,220.81,135.68,26.86,57.18
2026-06-01T09:09:00,12.946921,77.576115,125.54,176.18,153.18,26.75,55.59
2026-06-01T09:09:45,12.946570,77.574879,161.09,204.58,162.51,26.25,57.17
2026-06-01T09:10:30,12.946100,77.573702,162.65,160.74,143.70,26.13,55.59
2026-06-01T09:11:15,12.945518,77.572601,204.73,188.31,147.20,27.76,56.00
2026-06-01T09:12:00,12.944831,77.571590,149.35,129.58,180.51,28.61,56.13
2026-06-01T09:12:45,12.944050,77.570686,140.84,159.14,192.98,28.47,50.98
2026-06-01T09:13:30,12.943185,77.569900,144.31,197.62,184.32,29.01,52.65
2026-06-01T09:14:15,12.942249,77.569245,221.37,147.90,167.95,28.24,55.31
2026-06-01T09:15:00,12.941254,77.568729,209.77,204.45,163.04,28.51,50.83
2026-06-01T09:15:45,12.940215,77.568360,171.28,134.05,127.34,28.33,52.01
2026-06-01T09:16:30,12.939146,77.568144,173.75,145.04,138.11,27.90,51.18
2026-06-01T09:17:15,12.938063,77.568084,215.42,202.17,191.74,28.59,48.99
2026-06-01T09:18:00,12.936981,77.568181,190.96,196.91,154.58,28.28,53.07
2026-06-01T09:18:45,12.935915,77.568433,261.93,154.25,193.39,29.30,47.54
2026-06-01T09:19:30,12.934880,77.568837,240.92,170.30,177.05,29.55,47.07
2026-06-01T09:20:15,12.933890,77.569388,287.98,244.94,208.26,27.56,46.99
2026-06-01T09:21:00,12.932961,77.570078,318.94,216.60,216.48,29.75,47.31
2026-06-01T09:21:45,12.932104,77.570896,367.42,239.39,171.49,29.31,51.11
2026-06-01T09:22:30,12.931332,77.571833,398.14,221.28,198.71,27.82,51.00
2026-06-01T09:23:15,12.930656,77.572873,349.56,221.56,223.20,29.00,46.14
2026-06-01T09:24:00,12.930085,77.574004,412.55,219.51,251.58,28.72,52.23
2026-06-01T09:24:45,12.929627,77.575208,426.40,216.99,231.66,29.13,47.79
2026-06-01T09:25:30,12.929289,77.576469,461.77,232.31,193.09,29.34,48.73
2026-06-01T09:26:15,12.929075,77.577768,481.59,289.71,243.46,28.04,49.27
2026-06-01T09:27:00,12.928989,77.579088,483.55,201.26,186.41,28.48,48.57
2026-06-01T09:27:45,12.929030,77.580410,548.74,275.39,210.29,29.39,49.41
2026-06-01T09:28:30,12.929200,77.581715,536.98,213.72,225.80,29.56,46.66
2026-06-01T09:29:15,12.929494,77.582985,503.29,258.27,227.27,28.97,47.40
2026-06-01T09:30:00,12.929909,77.584201,522.51,266.60,165.42,28.52,46.65
2026-06-01T09:30:45,12.930438,77.585347,507.08,257.79,204.79,27.95,52.47
2026-06-01T09:31:30,12.931075,77.586406,465.42,223.47,202.46,28.67,46.29
2026-06-01T09:32:15,12.931809,77.587364,553.59,215.89,213.48,29.22,50.82
2026-06-01T09:33:00,12.932630,77.588206,515.65,288.09,225.59,29.74,48.00
2026-06-01T09:33:45,12.933527,77.588921,447.17,238.32,190.72,29.67,52.02
2026-06-01T09:34:30,12.934485,77.589500,463.97,213.16,181.38,29.06,49.45
2026-06-01T09:35:15,12.935493,77.589933,389.18,264.52,184.16,29.26,53.12
2026-06-01T09:36:00,12.936534,77.590214,385.44,204.43,167.07,29.06,49.75
2026-06-01T09:36:45,12.937594,77.590341,395.49,204.32,160.87,29.21,49.41
2026-06-01T09:37:30,12.938658,77.590311,315.76,234.23,189.63,28.89,50.94
2026-06-01T09:38:15,12.939711,77.590125,330.69,160.73,135.36,27.94,51.85
2026-06-01T09:39:00,12.940736,77.589785,330.57,227.09,162.04,27.82,55.20
2026-06-01T09:39:45,12.941721,77.589297,293.67,168.33,210.90,27.88,53.59
2026-06-01T09:40:30,12.942649,77.588668,271.05,174.79,195.49,27.44,54.54
2026-06-01T09:41:15,12.943509,77.587907,240.53,229.33,164.62,26.91,55.20
2026-06-01T09:42:00,12.944287,77.587024,237.30,215.10,178.44,28.17,56.83
2026-06-01T09:42:45,12.944972,77.586033,233.87,230.04,201.45,26.35,57.20
2026-06-01T09:43:30,12.945555,77.584948,238.83,155.59,138.92,28.34,55.25
2026-06-01T09:44:15,12.946027,77.583784,264.40,216.17,203.08,26.75,54.22
2026-06-01T09:45:00,12.946381,77.582558,241.49,231.05,206.78,27.54,53.42
2026-06-01T09:45:45,12.946612,77.581288,225.89,219.02,222.62,25.80,53.30
2026-06-01T09:46:30,12.946716,77.579993,207.82,177.69,195.43,26.41,58.55
2026-06-01T09:47:15,12.946692,77.578689,236.27,191.07,154.01,27.25,56.49
2026-06-01T09:48:00,12.946540,77.577398,185.92,227.31,183.43,25.59,56.92
2026-06-01T09:48:45,12.946263,77.576136,158.84,210.19,128.61,25.21,57.03
2026-06-01T09:49:30,12.945863,77.574922,151.47,147.00,147.65,24.83,60.70
2026-06-01T09:50:15,12.945346,77.573774,209.76,134.45,194.10,25.89,58.73
2026-06-01T09:51:00,12.944720,77.572707,148.63,201.14,174.85,25.62,61.05
2026-06-01T09:51:45,12.943994,77.571738,176.44,162.64,170.65,25.09,61.12
2026-06-01T09:52:30,12.943177,77.570881,198.42,218.10,199.36,25.26,63.32
