timestamp,latitude,longitude,mq135,mq2,mq7,temperature,humidity
2026-06-09T09:00:00,12.951034,77.575694,246.97,267.29,238.15,26.07,63.24
2026-06-09T09:00:45,12.950097,77.576348,201.27,245.49,238.13,24.66,57.20
2026-06-09T09:01:30,12.949231,77.577132,198.07,195.64,182.07,24.73,56.44
2026-06-09T09:02:15,12.948447,77.578037,258.27,229.45,223.57,25.74,59.54
2026-06-09T09:03:00,12.947756,77.579050,171.55,191.37,222.45,26.70,57.82
2026-06-09T09:03:45,12.947169,77.580155,219.92,189.90,236.54,26.06,56.69
2026-06-09T09:04:30,12.946694,77.581337,171.43,193.61,232.01,26.78,61.05
2026-06-09T09:05:15,12.946337,77.582580,235.67,255.65,257.43,26.37,59.23
2026-06-09T09:06:00,12.946103,77.583866,231.43,238.53,236.01,25.25,54.15
2026-06-09T09:06:45,12.945996,77.585176,263.15,247.98,200.03,26.11,59.53
2026-06-09T09:07:30,12.946018,77.586492,229.01,186.11,169.44,27.13,58.11
2026-06-09T09:08:15,12.946167,77.587795,231.95,227.54,257.17,26.32,58.52
2026-06-09T09:09:00,12.946442,77.589067,233.10,212.34,245.77,27.92,52.87
2026-06-09T09:09:45,12.946838,77.590289,220.34,185.95,179.95,28.18,55.70
2026-06-09T09:10:30,12.947351,77.591444,244.53,235.23,188.71,27.28,54.88
2026-06-09T09:11:15,12.947972,77.592516,268.00,279.35,233.98,28.63,56.52
2026-06-09T09:12:00,12.948693,77.593490,216.73,176.56,231.32,27.55,53.48
2026-06-09T09:12:45,12.949504,77.594350,238.54,199.67,255.90,28.21,52.52
2026-06-09T09:13:30,12.950393,77.595087,198.46,234.04,206.59,28.13,50.74
2026-06-09T09:14:15,12.951346,77.595688,232.44,249.58,223.84,27.98,50.03
2026-06-09T09:15:00,12.952351,77.596146,279.16,232.03,226.75,27.21,52.24
2026-06-09T09:15:45,12.953394,77.596453,213.00,212.16,234.65,27.92,48.91
2026-06-09T09:16:30,12.954458,77.596606,289.09,233.31,266.88,29.50,53.52
2026-06-09T09:17:15,12.955530,77.596603,292.77,255.61,290.61,28.57,50.08
2026-06-09T09:18:00,12.956593,77.596443,280.97,258.28,287.94,28.37,49.36
2026-06-09T09:18:45,12.957633,77.596129,294.99,247.62,266.55,27.67,52.84
2026-06-09T09:19:30,12.958635,77.595665,273.49,289.77,290.20,29.32,49.03
2026-06-09T09:20:15,12.959584,77.595058,283.62,316.21,322.25,28.21,50.76
