timestamp,latitude,longitude,mq135,mq2,mq7,temperature,humidity
2026-06-11T09:00:00,12.982410,77.601220,146.20,171.50,132.40,26.10,62.30
2026-06-11T09:00:45,12.982820,77.601680,152.80,184.70,139.10,26.40,61.80
2026-06-11T09:01:30,12.983250,77.602070,166.30,214.90,151.60,26.90,60.70
2026-06-11T09:02:15,12.983730,77.602430,188.50,291.40,174.20,27.50,58.90
2026-06-11T09:03:00,12.984160,77.602880,231.70,418.60,209.80,28.20,56.40
2026-06-11T09:03:45,12.984560,77.603310,274.10,563.20,248.90,29.10,53.70
2026-06-11T09:04:30,12.984940,77.603760,322.80,716.50,296.40,29.60,51.20
2026-06-11T09:05:15,12.985310,77.604180,286.40,642.70,265.30,29.20,52.10
2026-06-11T09:06:00,12.985740,77.604610,244.90,486.30,226.70,28.50,54.80
2026-06-11T09:06:45,12.986120,77.605020,203.60,337.80,191.20,27.90,57.30
2026-06-11T09:07:30,12.986510,77.605430,174.20,238.60,164.50,27.20,59.60
2026-06-11T09:08:15,12.986930,77.605870,158.70,196.40,148.80,26.70,61.10
